EXPIRATION,SIG,WFO,MSG_TYPE,PHENOM,URL,PROD_TYPE,ISSUANCE,WARNID,EVENT
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
2020-01-03T04:00:00+00:00,Y,KLIX,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984538-3382147,Small Craft Advisory,2020-01-02T15:12:00+00:00,O.CON.KLIX.SC.Y.0001.1577977920,"0001"
,W,KABR,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984533-3382144,Flood Warning,2020-01-02T15:07:00+00:00,O.CON.KABR.FL.W.0035.1577977620,"0035"
,W,KABR,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984532-3382143,Flood Warning,2020-01-02T15:07:00+00:00,O.CON.KABR.FL.W.0078.1577977620,"0078"
,W,KABR,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984531-3382142,Flood Warning,2020-01-02T15:07:00+00:00,O.CON.KABR.FL.W.0089.1577977620,"0089"
,W,KABR,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984534-3382145,Flood Warning,2020-01-02T15:07:00+00:00,O.CON.KABR.FL.W.0038.1577977620,"0038"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984529-3382140,Flood Warning,2020-01-05T01:30:00+00:00,O.CON.KJAN.FL.W.0014.1578187800,"0014"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984530-3382141,Flood Warning,2020-01-03T18:25:00+00:00,O.CON.KJAN.FL.W.0013.1578075900,"0013"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984528-3382139,Flood Warning,2020-01-03T17:18:00+00:00,O.CON.KJAN.FL.W.0012.1578071880,"0012"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984523-3382138,Flood Warning,2020-01-04T03:00:00+00:00,O.EXT.KJAN.FL.W.0011.1578106800,"0011"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984519-3382134,Flood Warning,2020-01-03T17:30:00+00:00,O.CON.KJAN.FL.W.0006.1578072600,"0006"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984518-3382133,Flood Warning,2020-01-03T12:00:00+00:00,O.EXT.KJAN.FL.W.0010.1578052800,"0010"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984516-3382131,Flood Warning,2020-01-03T18:00:00+00:00,O.CON.KJAN.FL.W.0005.1578074400,"0005"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984522-3382137,Flood Warning,2020-01-06T06:00:00+00:00,O.CON.KJAN.FL.W.0007.1578290400,"0007"
2020-01-06T06:00:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984517-3382132,Flood Warning,2020-01-04T05:00:00+00:00,O.EXT.KJAN.FL.W.0009.1578114000,"0009"
